index,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,countryCode,countryName,goal,reverse,seriesCode,seriesName,target,cc,rl,target2
18,0.0,0.2019816924716317,0.2674102389036353,0.285983619579889,0.4011153583554531,0.2674102389036353,0.6685255972590884,0.4539874737963731,0.4011153583554531,0.5379894009046304,0.5348204778072708,0.6219913280128726,0.6685255972590884,0.7059932551211299,0.6685255972590884,0.789995182229372,0.935935836162724,0.8739971093376141,0.935935836162724,0.9579990364458713,1.0,MEX,Mexico,1,1.0,SI_POV_DAY1,Proportion of population below international poverty line (%),1.1,0.3819336478908857,0.3884141494830449,
83,0.433067677673146,0.4256224197597973,0.4181771618464486,0.4107319039331045,0.4032866460197558,0.395841388106407,0.3883961301930583,0.3809508722797119,0.3735056143663632,0.3660603564530168,0.0,0.3511698406263193,0.3437245827129729,0.3362793247996265,0.0,0.3213888089729314,1.0,0.3215961947406095,0.3143130240582081,0.3070298533758068,0.2997466826934077,MEX,Mexico,1,1.0,SD_MDP_MUHC,Proportion of population living in multidimensional poverty (%),1.2,0.3819336478908857,0.3884141494830449,
0,0.6146611728088817,0.6153354150585459,0.6160096573082104,0.6166838995578748,0.6173581418075393,0.6180323840572036,0.618706626306868,0.6193808685565324,0.0,0.6207293530558613,0.7637721755368816,0.62207783755519,1.0,0.6234263220545189,0.788982259570495,0.6247748065538478,0.6330532212885156,0.6261232910531767,0.5536881419234361,0.6274717755525053,0.62814601780217,MEX,Mexico,1,0.0,per_sa_allsa.cov_pop_tot,Coverage of social safety net programs (% of population),1.3,0.3819336478908857,0.3884141494830449,
1,0.6057777513377979,0.6062584194724154,0.6067390876070325,0.6072197557416497,0.6077004238762672,0.6081810920108843,0.6086617601455018,0.609142428280119,0.998916282850176,0.6101037645493536,1.0,0.6110651008185881,0.9038201029531292,0.6120264370878227,0.7664589542129505,0.6129877733570573,0.0,0.613949109626292,0.0070441614738553,0.6149104458955265,0.6153911140301438,MEX,Mexico,1,0.0,per_si_allsi.cov_pop_tot,Coverage of social insurance programs (% of population),1.3,0.3819336478908857,0.3884141494830449,
14,1.0,0.9864612457337806,0.9729224916031624,0.9593837375971908,0.9458449835166308,0.8842295932399435,0.9522998300402558,0.7826344318570085,0.9426803099856216,0.9571172052529312,0.7836409481685604,0.9537159287043075,0.9518940073613176,0.9421083070450612,0.9640888998202216,0.98096079754424,0.9818481497524346,0.578457912851823,0.9088946999232506,0.0,0.7292249177785521,MEX,Mexico,1,1.0,VC_DSR_GDPLS,Direct economic loss attributed to disasters (current United States dollars),1.5,0.3819336478908857,0.3884141494830449,11.5
25,0.4608278013920314,0.4475021016990348,0.4341764020538,0.4208507023295755,0.407525002725997,0.5316231177826943,0.1869334677607565,0.9946322383099484,0.226552216652197,0.1715629988517657,1.0,0.1731593245021984,0.1805948413476349,0.2238076567619794,0.1199251313934709,0.0,0.0446364391669233,0.2342909070061394,0.2209652072982633,0.2076395075997158,0.1943138080505952,MEX,Mexico,1,0.0,VC_DSR_AFFCT,Number of people affected by disaster (number),1.5,0.3819336478908857,0.3884141494830449,11.5
28,0.6859646989621708,0.6852526304044466,0.6845405618467229,0.6838284932889986,0.6831164247312748,0.7977777777777778,0.4,0.78,0.7711111111111111,0.5977777777777777,0.76,1.0,0.5555555555555556,0.5133333333333333,0.8711111111111112,0.8511111111111112,0.8488888888888889,0.0,0.8311111111111111,0.5844444444444444,0.6717233278076911,MEX,Mexico,1,1.0,VC_DSR_MORT,Number of deaths due to disaster (number),1.5,0.3819336478908857,0.3884141494830449,11.5
43,0.6859646989621708,0.6852526304044466,0.6845405618467229,0.6838284932889986,0.6831164247312748,0.7977777777777778,0.4,0.78,0.7711111111111111,0.5977777777777777,0.76,1.0,0.5555555555555556,0.5133333333333333,0.8711111111111112,0.8511111111111112,0.8488888888888889,0.0,0.8311111111111111,0.5844444444444444,0.6717233278076911,MEX,Mexico,1,1.0,VC_DSR_MMHN,Number of deaths and missing persons attributed to disasters (number),1.5,0.3819336478908857,0.3884141494830449,11.5
46,0.5286818596828562,0.5420492049294665,0.5554165502753197,0.568783895456805,0.5821512407642386,0.4683768822173056,0.8130665322392434,0.0053677616900514,0.773447783347803,0.8284370011482343,0.0,0.8268406754978015,0.8194051586523651,0.7761923432380206,0.8800748686065291,1.0,0.9553635608330766,0.4576273559806201,0.7599070210322906,0.9699265316791292,0.7960287651290847,MEX,Mexico,1,1.0,VC_DSR_PDAN,Number of people whose damaged dwellings were attributed to disasters (number),1.5,0.3819336478908857,0.3884141494830449,11.5
49,0.6264098898436457,0.6286491003797796,0.6308883109881926,0.6331275214153418,0.6353667319876148,0.637605942450904,0.6398451529506148,0.6420843635954506,0.6443235740951615,0.6465627846310127,0.6488019951307236,0.6510412055942952,0.6532804162752703,0.6555196267388419,0.6577588373108326,0.6599980477744042,0.6622372582738325,0.0,1.0,0.9996542128402298,0.6711941004178015,MEX,Mexico,1,1.0,VC_DSR_PDYN,Number of people whose destroyed dwellings were attributed to disasters (number),1.5,0.3819336478908857,0.3884141494830449,11.5
52,0.7103851418078344,0.6900758965726097,0.6697666513393216,0.6494574060817431,0.6291481608465099,0.608838915623422,0.5885296703556432,0.5682204251102099,0.5479111798973304,0.527601934639752,0.5072926894064639,0.4869834441265399,0.4666741989155971,0.446364953680364,0.4260557084227854,0.4057464631895057,0.3854372179421274,1.0,0.0,0.0349129081677441,0.3042002369827393,MEX,Mexico,1,1.0,VC_DSR_PDLN,"Number of people whose livelihoods were disrupted or destroyed, attributed to disasters (number)",1.5,0.3819336478908857,0.3884141494830449,11.5
55,0.4697928912006631,0.4715319148841269,0.4732709385675912,0.4750099622510549,0.4767489859345187,0.4784880096179825,0.4802270333014468,0.4819660569849111,0.4837050806683748,0.4854441043518386,0.4871831280353024,0.4889221517187661,0.4906611754022305,0.4924001990856947,0.4941392227691585,0.4958782464526223,0.0,0.0,1.0,1.0,0.5045733648699422,MEX,Mexico,1,0.0,SG_DSR_SILS,Proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national disaster risk reduction strategies (%),1.5,0.3819336478908857,0.3884141494830449,11.b
58,0.4975850878704107,0.4997039530726773,0.5018228182749439,0.5039416834772105,0.506060548679477,0.5081794138817436,0.5102982790840102,0.5124171442862767,0.5145360094885433,0.5166548746908101,0.5187737398930766,0.5208926050953423,0.5230114702976089,0.5251303354998754,0.527249200702142,0.0,0.3333333333333333,0.3333333333333333,1.0,1.0,0.5399623919157414,MEX,Mexico,1,0.0,SG_DSR_SILN,Number of local governments that adopt and implement local DRR strategies in line with national strategies (number),1.5,0.3819336478908857,0.3884141494830449,11.b
60,0.6935748541542103,0.692063324647971,0.6905517951765218,0.689040265670283,0.6875287361640444,0.6860172066578057,0.6845056771631353,0.6829941476685489,0.6814826181855316,0.67997108866764,0.6784595591730536,0.6769480296668156,0.6754365001489242,0.6739249706775587,0.6724134411712357,0.6709019116882184,0.6693903821704111,0.9995980859659558,1.0,0.0,0.6633442641802456,MEX,Mexico,1,1.0,VC_DSR_AGLH,Direct agriculture loss attributed to disasters (current United States dollars),1.5,0.3819336478908857,0.3884141494830449,11.5
62,0.0774925698194629,0.1236179414809309,0.16974331297033,0.2158686844335827,0.2619940560051454,0.528840508593511,0.7331665351813736,0.2238829144716612,0.7042916788148298,0.7476268218214277,0.2269041685219238,0.7374172301529649,0.7319483796499047,0.7025747009764227,0.7685537161070677,0.8482518843769948,0.8218615514312605,0.0,0.8683540984341445,0.8259118257746438,1.0,MEX,Mexico,1,1.0,VC_DSR_HOLH,Direct economic loss in the housing sector attributed to disasters (current United States dollars),1.5,0.3819336478908857,0.3884141494830449,11.5
64,0.6634276238935963,0.6635946737423619,0.663761723610991,0.6639287734549492,0.6640958232838122,0.664262873192168,0.6644299230655653,0.6645969729341943,0.6647640227781524,0.6649310726960838,0.6650981225201785,0.6652651724086709,0.6654322222080948,0.6655992721705606,0.6657663220145185,0.9342671378942196,0.6661004217318741,0.0,0.7308726843766794,1.0,0.666768621211119,MEX,Mexico,1,1.0,VC_DSR_CILN,Direct economic loss resulting from damaged or destroyed critical infrastructure attributed to disasters (current United States dollars),1.5,0.3819336478908857,0.3884141494830449,11.5
66,0.4677618828560421,0.4695112733069287,0.4712606637750061,0.4730100542258929,0.4747594446595881,0.4765088351104749,0.4782582255441702,0.4800076159778651,0.4817570064287511,0.4835063968796377,0.4852557873305247,0.4870051777642197,0.4887545682151063,0.4905039586659934,0.4922533490996877,0.4940027395677658,0.4957521300186527,0.4975015204695393,0.0,1.0,0.5027496917878155,MEX,Mexico,1,1.0,VC_DSR_CHLN,Direct economic loss to cultural heritage damaged or destroyed attributed to disasters (millions of current United States dollars),1.5,0.3819336478908857,0.3884141494830449,11.5
