programCode,education,health,social security,housing,nutrition,poverty
10S017,,,,,1,1
10S214,,,,,1,
10S714,,,,,1,
10U003,,,,,1,
11B001,1,,,,,
11B002,1,,,,,
11B003,1,,,,,
11E001,1,,,,,
11E002,1,,,,,
11E003,1,,,,,
11E005,,,1,,,
11E006,1,,,,,
11E007,1,,,,,
11E008,1,,,,,
11E009,,,1,,,
11E014,1,,,,,
11E015,1,,,,,
11E016,1,,,,,
11E020,1,,,,,
11E038,1,,,,,
11E040,1,,,,,
11E042,1,,,,,
11E043,1,,,,,1
11E044,1,,,,,
11E045,1,,,,,
11E046,1,,,,,
11E047,1,,,,,
11E048,1,,,,,
11E049,1,,,,,
11E051,1,,,,,
11E057,1,,,,,
11E060,1,,,,,
11E062,1,,,,,1
11E063,1,,,,,1
11E064,1,,,,,1
11E066,1,,,,,
11E067,1,,,,,
11E342,1,,,,,
11E343,1,,,,,1
11E900,1,,,,,
11E907,1,,,,,
11E908,1,,,,,
11E909,1,,,,,
11E913,1,,,,,
11E921,1,,,,,
11E922,1,,,,,
11E923,1,,,,,
11E945,1,,,,,
11E952,1,,,,,
11E954,1,,,,,
11G001,1,,,,,
11G002,1,,,,,
11G003,1,,,,,
11G009,1,,,,,
11G900,1,,,,,
11G901,1,,,,,
11K009,1,,,,,
11K010,1,,,,,
11K027,1,,,,,
11K309,1,,,,,
11S022,1,,,,,1
11S024,1,,,,,1
11S027,1,,,,,
11S028,1,,,,,
11S029,1,,,,,
11S030,1,,,,,
11S031,1,,,,,
11S033,1,,,,,
11S035,1,,,,,
11S072,1,,,,1,1
11S084,1,,,,,1
11S085,1,,,,,1
11S108,1,,,,,1
11S111,1,,,,,1
11S119,1,,,,,1
11S126,1,,,,,1
11S127,1,,,,,
11S128,1,,,,,
11S152,1,,,,,
11S156,1,,,,,
11S204,1,1,,,,
11S221,1,,,,,1
11S222,1,,,,,
11S223,1,,,,,
11S227,1,,,,,
11S235,1,,,,,
11S243,1,,,,,
11S244,1,,,,,
11S245,1,,,,,
11S246,1,,,,,
11S247,1,,,,,
11S267,1,,,,,
11S269,1,1,,,,
11S270,1,,,,,
11S271,1,,,,,
11S322,1,,,,,1
11S324,1,,,,,1
11S328,1,,,,,
11S384,1,,,,,1
11S426,1,,,,,1
11S456,1,,,,,
11S837,1,1,,,,
11U001,1,,,,,1
11U005,1,,,,,
11U006,1,,,,,
11U007,1,,,,,
11U008,1,,,,,
11U009,1,,,,,
11U010,1,,,,,
11U011,1,,,,,
11U012,1,,,,,
11U015,1,,,,,1
11U016,1,,,,,1
11U017,1,,,,,
11U018,1,,,,,
11U021,1,,,,,
11U023,1,,,,,
11U024,1,,,,,
11U026,1,,,,,
11U027,1,,,,,
11U029,1,,,,1,1
11U030,1,,,,,
11U031,1,,,,,
11U032,1,,,,,1
11U033,1,,,,,
11U035,1,,,,,
11U036,1,,,,,
11U038,1,,,,,
11U039,1,,,,,
11U040,1,,,,,
11U044,1,,,,,
11U045,1,,,,,
11U046,1,,,,,
11U051,1,,,,,
11U054,1,,,,,
11U055,1,,,,,
11U061,1,,,,,
11U063,1,,,,,
11U065,1,,,,,
11U066,1,,,,,
11U067,1,,,,,
11U068,1,,,,,
11U069,1,,,,,
11U070,1,,,,,
11U072,1,,,,,
11U073,1,,,,,
11U074,1,,,,,
11U077,1,,,,,
11U078,1,,,,,
11U079,1,,,,,
11U080,1,,,,,
11U081,1,,,,,
11U082,1,,,,,
11U304,1,,,,,
11U530,1,,,,,
11U619,1,,,,,
11U800,1,,,,,
11U801,1,,,,,
11U802,1,,,,,
11U803,1,,,,,
11U804,1,,,,,
11U805,1,,,,,
11U806,1,,,,,
11U807,1,,,,,
11U808,1,,,,,
11U809,1,,,,,
11U810,1,,,,,
11U811,1,,,,,
11U812,1,,,,,
11U813,1,,,,,
11U814,1,,,,,
11U815,1,,,,,
11U816,1,,,,,
11U817,1,,,,,
11U818,1,,,,,
11U819,1,,,,,
11U820,1,,,,,
11U821,1,,,,,
11U822,1,,,,,
11U823,1,,,,,
11U824,1,,,,,
11U825,1,,,,,
11U826,1,,,,,
11U827,1,,,,,
11U828,1,,,,,
11U829,1,,,,,
11U830,1,,,,,
11U831,1,,,,,
11U832,1,,,,,
11U833,1,,,,,
11U834,1,,,,,
11U835,1,,,,,
11U836,1,,,,,
11U837,1,,,,,
11U838,1,,,,,
11U839,1,,,,,
11U840,1,,,,,
11U841,1,,,,,
11U842,1,,,,,
11U843,1,,,,,
11U844,1,,,,,
11U845,1,,,,,
11U846,1,,,,,
11U847,1,,,,,
11U848,1,,,,,
11U849,1,,,,,
11U850,1,,,,,
11U851,1,,,,,
11U852,1,,,,,
11U853,1,,,,,
11U854,1,,,,,
11U855,1,,,,,
11U856,1,,,,,
11U857,1,,,,,
11U858,1,,,,,
11U859,1,,,,,
11U860,1,,,,,
11U861,1,,,,,
11U862,1,,,,,
11U863,1,,,,,
11U864,1,,,,,
11U865,1,,,,,
11U866,1,,,,,
11U867,1,,,,,
11U868,1,,,,,
11U869,1,,,,,
11U870,1,,,,,
11U871,1,,,,,
11U872,1,,,,,
11U873,1,,,,,
11U874,1,,,,,
11U875,1,,,,,
11U876,1,,,,,
11U877,1,,,,,
11U878,1,,,,,
11U879,1,,,,,
11U880,1,,,,,
11U881,1,,,,,
11U882,1,,,,,
11U883,1,,,,,
12B001,,1,,,,
12B301,,1,,,,
12E008,,1,,,,
12E010,1,1,,,,
12E017,,,1,,,
12E019,,1,,,,
12E020,,1,,,,
12E022,,1,,,,
12E023,,1,,,,
12E024,,,1,,,
12E025,,1,1,,,
12E026,,1,1,,,
12E028,,1,1,,,
12E030,,1,,,,
12E031,,1,,,,
12E033,,1,,,,
12E034,,1,,,,
12E036,,1,,,,
12E037,,1,1,,,
12E038,,1,1,,,
12E039,,1,,,,
12E310,,1,,,,
12E318,,1,,,,
12E330,,1,,,,
12G002,,1,,,,
12G003,,1,,,,
12G004,,1,,,,
12G005,,1,1,,,
12K011,,1,,,,
12K025,,1,1,,,
12K027,,1,,,,
12K028,,1,1,,,
12K311,,1,,,,
12K327,,1,,,,
12S037,,1,,,1,1
12S072,1,,,,1,1
12S200,,1,1,,,
12S201,,1,1,,,
12S202,,1,1,,,
12S251,,,,,1,1
12U004,,1,,,,
12U005,,1,,,,1
12U006,,1,1,,,
12U007,,1,,,,
12U008,,1,,,,
12U009,,1,,,,
12U010,,1,,,,
12U012,,1,,,,
14E003,,,1,,,
14E004,,,1,,,
14E005,,,1,,,
14E006,,,1,,,
14E007,,,,,1,1
14E010,,,1,,1,1
14S043,,,1,,1,1
14U001,,,1,,1,1
15E001,,,,1,1,1
15E002,,,,1,1,1
15E003,,,,1,1,1
15E004,,,,1,1,1
15E005,,,,1,1,1
15E006,,,,,1,1
15E007,,,,,1,1
15F002,,,,,,1
15S048,,,,1,,
15S058,,,,1,,
15S088,,,,,1,1
15S089,,,,,1,1
15S117,,,,1,,1
15S175,,,,1,,
15S177,,,,1,,
15S203,,,,,1,1
15S213,,,,1,1,1
15S253,,,,1,,
15S255,,,,1,,
