2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,minVal,maxVal,seriesCode,right,reversed,affected,description,cc,rl
0.7933333333333332,0.7504694117744393,0.7133333333333333,0.6673453259087623,0.6133333333333333,0.5941016354962159,0.58,0.5309821509547916,0.4933333333333332,0.4824664096021323,0.4599999999999999,10.0,25.0,lag_educ,education,1.0,1.0,Population with a lag in education,0.3861290720376101,0.39023550098592585
0.8459585273083405,0.80692366810419,0.7722542857142856,0.7196351746884204,0.6661542857142858,0.6439435290290554,0.6202,0.591451775894086,0.5681785714285714,0.5493635234731329,0.5320685714285714,2.0,9.0,illiterate,education,1.0,0.0,Population aged fifteen or over that cannot read or write a message,0.3861290720376101,0.39023550098592585
0.8537564318798658,0.8146795491835661,0.77656,0.7291195717062209,0.6792959259259261,0.646199440298254,0.6127918518518519,0.5670295195846435,0.5241644444444444,0.4878448658822449,0.4511100000000002,20.0,47.0,compu_school,education,1.0,0.0,Population aged sixteen or over that does not have compulsory basic education,0.3861290720376101,0.39023550098592585
0.8064179903604618,0.7664033333779727,0.7558562499999999,0.6647841834932038,0.5841799999999999,0.5578761669253307,0.5238912499999999,0.4780140726097084,0.3915024999999998,0.4459424328492876,0.4886375,5.0,13.0,school_atten,education,1.0,1.0,Population from three to fifteen years of age that does not attend school,0.3861290720376101,0.39023550098592585
0.6100718305494124,0.628125,0.635288619599073,0.6483844102494674,0.659375,0.676096059061364,0.6908906462997071,0.6781250000000001,0.7225952591834703,0.7390788391365741,0.78125,20.0,52.0,pisa_read,education,1.0,0.0,15-year-old students with low performance on reading skills,0.3861290720376101,0.39023550098592585
0.5566606149622757,0.5942857142857142,0.6337359554842301,0.6718265099106269,0.7057142857142858,0.7322036654628832,0.7505325253724209,0.76,0.75976072972907,0.7531041152049536,0.7428571428571429,30.0,65.0,pisa_math,education,1.0,0.0,15-year-old students with low performance on math skills,0.3861290720376101,0.39023550098592585
0.7433032506412687,0.7466666666666666,0.7433031790385556,0.7433031429012829,0.7333333333333333,0.7433030699568306,0.7433030331492603,0.7599999999999999,0.7433029588595161,0.7433029213777758,0.7333333333333333,25.0,55.0,pisa_science,education,1.0,0.0,Underperforming 15-year-olds on science skills,0.3861290720376101,0.39023550098592585
0.215,0.2349999999999999,0.2699999999999999,0.3175,0.3574999999999999,0.3975000000000001,0.4850000000000001,0.5362660835591633,0.6053818254782094,0.6649999999999998,0.7125,50.0,90.0,high_educ,education,0.0,1.0,"Students in upper secondary level (high school), with respect to the population that it represents to attend said level",0.3861290720376101,0.39023550098592585
0.1399999999999999,0.1533333333333333,0.1866666666666667,0.2133333333333333,0.2533333333333333,0.2866666666666667,0.3133333333333333,0.3361510925734718,0.3724674970244122,0.4033333333333334,0.4333333333333333,20.0,50.0,univ_educ,education,0.0,0.0,"Students in higher level (does not include postgraduate), with respect to the population that represents to attend said level (18 to 22 years)",0.3861290720376101,0.39023550098592585
0.8352941176470587,0.7055161173346267,0.5647058823529412,0.4364529076910681,0.3382352941176471,0.2796475295340332,0.2411764705882352,0.2017878870190266,0.1617647058823529,0.1363595481745125,0.1823529411764705,10.0,44.0,lack_health,health,1.0,0.0,Population deprived from access to health services,0.3861290720376101,0.39023550098592585
0.2822500000000001,0.4449999999999999,0.51725,0.5517499999999999,0.6612500000000001,0.6325,0.7949999999999999,0.91725,0.7379999999999999,0.5852499999999999,0.7219999999999999,60.0,100.0,vacc_child,health,0.0,1.0,Population under one year of age with a complete basic vaccination schedule,0.3861290720376101,0.39023550098592585
0.5405381227550823,0.5548551320211708,0.6049736666666665,0.5846763027323085,0.5628493333333334,0.6178863172299991,0.5719853333333333,0.6560801338310078,0.7156783333333334,0.6959130469999408,0.7443363333333333,30.0,60.0,detec_diabe,health,1.0,0.0,"Population aged 30 years or over from whom, in the last twelve months, a finger prick blood sample to detect diabetes has not been taken",0.3861290720376101,0.39023550098592585
0.4870472964131984,0.5021314344908934,0.5296063157894736,0.5336236668362542,0.5636810526315791,0.5672395806239585,0.4507747368421053,0.6037865690201407,0.6539142105263159,0.6415232669339996,0.7423657894736844,20.0,39.0,detec_hyper,health,1.0,0.0,Population aged 30 or over whose blood pressure has not been measured in the last 12 months,0.3861290720376101,0.39023550098592585
0.8374999999999999,0.8,0.7625,0.73125,0.6937500000000001,0.66875,0.63125,0.63125,0.6,0.5,0.475,5.0,21.0,mort_infan,health,1.0,1.0,Mortality of children under five years of age (deaths per thousand births),0.3861290720376101,0.39023550098592585
0.7121951219512196,0.8121951219512195,0.5878048780487806,0.5609756097560976,0.5439024390243902,0.4439024390243903,0.4609756097560975,0.3560975609756098,0.4073170731707318,0.2926829268292683,0.2317073170731707,20.0,61.0,mort_mater,health,1.0,1.0,Maternal mortality (deaths per hundred thousand births),0.3861290720376101,0.39023550098592585
0.6809523809523809,0.695238095238095,0.7380952380952381,0.7761904761904761,0.8095238095238095,0.8142857142857141,0.8238095238095237,0.9142857142857144,0.9047619047619048,0.9350342138034796,0.9591559985107204,79.0,100.0,atent_birth,health,0.0,1.0,Births attended by specialized health personnel,0.3861290720376101,0.39023550098592585
0.501488060173774,0.4986363636363636,0.498634170076121,0.5058553854046987,0.5121435327914283,0.5227272727272727,0.5331818181818183,0.5454545454545454,0.5545454545454547,0.559090909090909,0.5681818181818182,63.0,85.0,life_expec,health,0.0,0.0,Average number of years a person is expected to live after birth,0.3861290720376101,0.39023550098592585
0.7529655225349193,0.720896744585346,0.6859916918205492,0.6627170870571462,0.6422838153261127,0.6003044447382493,0.5780988751035748,0.5362639727718275,0.4731158632220644,0.4804688016539629,0.4718999999999999,30.0,63.0,lack_noact,social security,1.0,0.0,Non-economically active population without access to social security,0.3861290720376101,0.39023550098592585
0.843535392515121,0.7672224462452251,0.6706373768468057,0.6228657605331565,0.5957648369573778,0.4336841175375809,0.2962135191886655,0.2720356095254876,0.2067155838012695,0.2530416553458341,0.3129032258064516,8.0,39.0,lack_high65,social security,1.0,0.0,Population aged 65 or over without access to social security,0.3861290720376101,0.39023550098592585
0.75,0.6959806127965926,0.6425000000000001,0.6543328584838477,0.655,0.6143777926236034,0.5875,0.5779942284853128,0.5199999999999999,0.5478985719787701,0.5574999999999999,35.0,75.0,lack_secur,social security,1.0,0.0,Population deprived from access to social security,0.3861290720376101,0.39023550098592585
0.8585336079207213,0.8448558859456696,0.8099119444444445,0.7447867391883953,0.6263830555555556,0.4465577102336322,0.2785347222222222,0.1957995846642539,0.1909286111111111,0.2367517597295254,0.2985147222222222,15.0,51.0,access_pens,social security,1.0,0.0,"Population aged sixty-five or over that does not receive a retirement or pension, is not the spouse of a retired person or pensioner, or does not receive support from the Elderly Adults Program",0.3861290720376101,0.39023550098592585
0.3303178805756985,0.3277881507588933,0.3397333333333332,0.3226422712630707,0.3076779166666667,0.3173941752463491,0.3680475,0.3120612631914969,0.2745225,0.3067010203750193,0.283845,36.0,60.0,insur_disabl,social security,0.0,0.0,"Employed and salaried population receiving disability benefits in the event of illness, accident or maternity",0.3861290720376101,0.39023550098592585
0.2070317744551388,0.207031747361313,0.2703915789473685,0.2070316929845503,0.2155315789473684,0.207031638357293,0.1848752631578947,0.207031583482852,0.1224105263157894,0.2070315283642472,0.2426221052631578,11.0,30.0,day_care,social security,0.0,0.0,Employed and wage-earning population receiving nurseries and childcare as an employment,0.3861290720376101,0.39023550098592585
