year,program code,Desc 1,Desc 2,Desc 3,aproved budget,spent budget,right,lack_health,vacc_child,detec_diabe,detec_hyper,mort_infan,mort_mater,atent_birth,life_expec,moder_pover,extre_pover,incom_ineq,lack_food,insec_food,lag_educ,illiterate,compu_school,school_atten,pisa_read,pisa_math,pisa_science,high_educ,univ_educ,lack_noact,lack_high65,lack_secur,access_pens,insur_disabl,day_care,pension_SAR,benef_life,benef_disabl,benef_death,house_space,house_servi,own_house,trash_dispo,acce_comu,N. of indicators affected
2008,6F017,Impulsar el desarrollo del sector rural facilitando el acceso al crédito a los productores mediante el otorgamiento de garantías y apoyos para el fomento tecnológico y financiero.,Incrementar el otorgamiento de garantías al sector agropecuario.,Apoyos para el fomento financiero y tecnológico de los sectores agropecuario y pesquero,198,198,Nutrition,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2008,6F317,Impulsar el desarrollo del sector rural facilitando el acceso al crédito a los productores mediante el otorgamiento de garantías y apoyos para el fomento tecnológico y financiero,Incrementar el otorgamiento de garantías al sector agropecuario,Apoyos para el fomento financiero y tecnológico de los sectores agropecuario y pesquero (Ampliaciones determinadas por la Cámara de Diputados),650,670,Nutrition,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2008,6G003,Que el sistema de ahorro para el retiro opere con apego a la normativa vigente en beneficio de los trabajadores.,Entidades del SAR operando bajo una adecuada supervisión,"Regulación, inspección y vigilancia de entidades participantes en los Sistemas de Ahorro para el Retiro,",155.082892,206.946695,Social security,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2
2008,6S001,"Contribuir en el financiamiento y la capitalización en el medio rural, mediante la ampliación de la cobertura e incorporación de nuevos segmentos de productores al seguro agropecuario.",Productores agropecuarios protegidos a nivel nacional por pérdidas económicas derivados de riesgos naturales.,Subsidio a la Prima del Seguro Agropecuario,444.75,444.75,Poverty,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2008,6S172,"Contribuir en el financiamiento y la capitalización en el medio rural, mediante la ampliación de la cobertura de seguros que ofertan los fondos de aseguramiento e incorporación de nuevos segmentos de productores al seguro agropecuario.",Fondos de Aseguramiento y sus Organismos Integradores cuentan con recursos para ofertar coberturas a los productores agropecuarios.,Programa de Apoyo a los Fondos de Aseguramiento Agropecuario,25,43.361801,Poverty,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2008,6S177,Contribuir a que la población tenga acceso a un financiamiento para vivienda.,"La Población de Bajos Ingresos tiene acceso a un Financiamiento para Adquisición de Vivienda, Autoconstrucción, Mejoramientos y/o Lotes con Servicios. (Por bajos ingresos se entenderá los que cuenten con un ahorro previo establecido en las reglas de operación vigente, que tengan ingresos hasta 5 salarios mínimos y sean sujetos de crédito)",Programa de esquema de financiamiento y subsidio federal para vivienda,3042.5,4984.369789,Housing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,3
2008,6S199,"Contribuir en el financiamiento y la capitalización en el medio rural, mediante la ampliación de la cobertura e incorporación de nuevos segmentos de productores al seguro agropecuario.",Productores agropecuarios protegidos en las zonas definidas por SAGARPA de las pérdidas económicas provocadas por contingencias climatológicas extraordinarias.,Fondo de Contingencias y Autoseguro,50,50,Poverty,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2008,6S301,,,Subsidio a la Prima del Seguro Agropecuario (Ampliaciones determinadas por la Cámara de Diputados),300,299.999987,Poverty,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2008,6S499,,,Fondo de Contingencias y Autoseguro (Ampliaciones determinadas por la Cámara de Diputados),175,148.689407,Poverty,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2008,6U001,"Fomentar la eficiencia de la acción gubernamental, enfocada al desarrollo habitacional sustentable",Se actualizan y modernizan los marcos normativos de vivienda en el ámbito local,Fomento a la producción de vivienda en las Entidades Federativas y Municipios,5,6.601266,Housing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,3
