simulation,sdg,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
0,1,0.8812779220037119,0.8655496669422025,0.4424115856069077,0.6230344941942311,0.503737440734795,0.5153662737429395,1.0418949622691063,0.8542919783852687,1.4013215743065532,1.6317334312973082,2.2052512817579633,2.3200021658104744,1.4668122527863228,1.7830908295754109
0,2,4.9685970152472,2.5414084208631444,3.9573356175673298,8.470266806282169,2.5040487554875464,3.6280599004381093,3.0230130011796588,3.830603818440496,4.0001211958561065,5.454880072990238,7.22388715333047,8.719724774822648,9.168483978159939,10.377476949317034
0,3,3.9491698467625893,5.527015974234098,11.631492994078599,14.648914791161621,7.312315524516952,12.046027901132986,11.359590064741909,10.024895232145207,17.10306551248535,16.8230557357031,13.19618132859961,13.8660765480251,11.206514331963962,15.056516816150715
0,4,3.2013126012953195,7.132717416785015,7.735353991276248,4.923543861916844,8.544061253762393,5.946182625912561,7.606553762235335,6.4289388645583285,7.325019487202621,7.681618470718494,13.322874536212115,10.739654918709189,9.257999434493163,13.987878421775662
0,5,0.6319857169141336,0.2933173025920202,1.1507033020454744,0.6082681091683925,0.15563090478301556,0.6610984448617659,0.36846450691233723,0.42202360248624526,0.4140846611370613,0.5815340172628394,0.7590932154553311,1.23167551949342,0.6584665891528649,0.8477856292576095
0,6,1.2137096585132738,3.427399657409853,3.4390143128036876,3.1756994531448934,2.6232569048431413,2.326543620173389,2.483476740965829,2.1340974973126325,3.752794854669392,7.256400794324682,4.143284779127862,5.862934518074642,7.066038541113593,9.996489593699494
0,7,3.422411356311519,1.36254738880148,2.5346303673625528,10.147221811769969,2.566619447557103,2.156502750200322,4.325808686110932,4.964884845732041,3.9603245815742034,2.524654937047253,4.211841938619859,5.231437050515017,4.2249976227607675,6.189571760841129
0,8,2.2857267833918455,1.9164101290351476,2.7605533078967897,3.2444018743620626,2.981111099667873,1.8483408047199437,2.872200645263228,2.300279838027431,4.195184985154535,2.757267321206509,7.0910995109495305,3.8043281164060057,3.0389932861542066,3.4775538942116664
0,9,5.4132787733270105,4.0087519534376845,6.511582741353584,5.162287149028769,4.174443399073077,7.605771329247148,8.641236932932486,5.1222939641390965,11.253820429725216,8.886758424951697,13.871492296665993,10.511873571037832,11.915941465917387,14.113749425754865
0,11,3.4407339369230527,6.0779077901678,6.849956507321437,3.499765822098442,11.008046790816332,4.43774117144123,10.137054259813914,5.5749716474742,8.795115993483254,12.836664749384036,22.77522154403009,12.60884229490312,16.147882581838704,14.223284738206136
