group,sdg,seriesCode,meanGapClosure
Africa,1,sdg1_320pov,12.654234921367303
Africa,1,sdg1_oecdpov,
Africa,1,sdg1_wpc,22.549354137536746
Africa,2,sdg2_crlyld,-1.6566757555973448
Africa,2,sdg2_obesity,-37.39219644766514
Africa,2,sdg2_snmi,2.0935010558428675
Africa,2,sdg2_stunting,12.035280090976384
Africa,2,sdg2_trophic,4.251442009720098
Africa,2,sdg2_undernsh,20.266578354953786
Africa,2,sdg2_wasting,5.291016219033206
Africa,3,sdg3_births,39.93328779906383
Africa,3,sdg3_fertility,19.206102693779922
Africa,3,sdg3_hiv,71.34891028583938
Africa,3,sdg3_incomeg,
Africa,3,sdg3_matmort,38.92173175531584
Africa,3,sdg3_neonat,21.583812130449854
Africa,3,sdg3_smoke,
Africa,3,sdg3_swb,9.881952173791664
Africa,3,sdg3_tb,31.87450986956967
Africa,3,sdg3_traffic,-0.026620641508398983
Africa,3,sdg3_u5mort,52.76126662417293
Africa,3,sdg3_vac,43.48976281032837
Africa,4,sdg4_earlyedu,
Africa,4,sdg4_primary,43.99951779583077
Africa,4,sdg4_second,21.059164004221486
Africa,4,sdg4_tertiary,
Africa,5,sdg5_edat,33.41605614677786
Africa,5,sdg5_lfpr,8.659630345823505
Africa,5,sdg5_parl,36.50988668057008
Africa,5,sdg5_paygap,
Africa,6,sdg6_safesan,
Africa,6,sdg6_safewat,
Africa,6,sdg6_sanita,-147237337.93033874
Africa,6,sdg6_scarcew,-9.774456053787743
Africa,6,sdg6_water,25.35256999224017
Africa,7,sdg7_cleanfuel,11.672829371685927
Africa,7,sdg7_co2twh,11.407903672252026
Africa,7,sdg7_elecac,-8334954.198165079
Africa,7,sdg7_ren,
Africa,8,sdg8_empop,
Africa,8,sdg8_gdpgrowth,-83.81517475595146
Africa,8,sdg8_impacc,3.2912489083130385
Africa,8,sdg8_unemp,11.716126332227027
Africa,8,sdg8_yneet,
Africa,9,sdg9_articles,0.6264430960090408
