group,sdg,seriesCode,meanGap
Africa,1,sdg1_320pov,55.52698032537584
Africa,1,sdg1_oecdpov,
Africa,1,sdg1_wpc,34.19090334938829
Africa,2,sdg2_crlyld,77.23647275875071
Africa,2,sdg2_obesity,11.336761266318753
Africa,2,sdg2_snmi,63.62173691594585
Africa,2,sdg2_stunting,50.263243062964946
Africa,2,sdg2_trophic,8.252795114744643
Africa,2,sdg2_undernsh,17.13971730660048
Africa,2,sdg2_wasting,38.463873406895985
Africa,3,sdg3_births,20.991200717003018
Africa,3,sdg3_fertility,33.41504383842209
Africa,3,sdg3_hiv,1.7247334412082866
Africa,3,sdg3_incomeg,
Africa,3,sdg3_matmort,11.212300394940856
Africa,3,sdg3_neonat,31.64099283688331
Africa,3,sdg3_smoke,
Africa,3,sdg3_swb,37.035020753083856
Africa,3,sdg3_tb,9.471774346511102
Africa,3,sdg3_traffic,38.818973602841076
Africa,3,sdg3_u5mort,13.378128926443924
Africa,3,sdg3_vac,16.713053103766576
Africa,4,sdg4_earlyedu,
Africa,4,sdg4_primary,12.389516460169071
Africa,4,sdg4_second,40.09353119286568
Africa,4,sdg4_tertiary,
Africa,5,sdg5_edat,26.446598771938664
Africa,5,sdg5_lfpr,16.544114626833107
Africa,5,sdg5_parl,43.29990048472933
Africa,5,sdg5_paygap,
Africa,6,sdg6_safesan,
Africa,6,sdg6_safewat,
Africa,6,sdg6_sanita,55.69158960994593
Africa,6,sdg6_scarcew,1.186715749201458
Africa,6,sdg6_water,26.14374118946314
Africa,7,sdg7_cleanfuel,71.59425113700914
Africa,7,sdg7_co2twh,3.9730637342890476
Africa,7,sdg7_elecac,35.19421309465913
Africa,7,sdg7_ren,
Africa,8,sdg8_empop,
Africa,8,sdg8_gdpgrowth,35.27330379675252
Africa,8,sdg8_impacc,1.270450579310237
Africa,8,sdg8_unemp,19.597716668238526
Africa,8,sdg8_yneet,
Africa,9,sdg9_articles,97.25402610028563
Africa,9,sdg9_intuse,62.6420818029653
Africa,9,sdg9_mobuse,45.962198052513465
Africa,9,sdg9_netacc,
Africa,9,sdg9_patents,
